"id","Mode","RegEventId","student_id","sub_id"
"1",1,"2","1","1"
"2",1,"2","1","2"
"3",1,"2","1","3"
"4",1,"2","1","4"
"5",1,"2","1","5"
"6",1,"2","1","6"
"7",1,"2","1","7"
"8",1,"2","1","8"
"9",1,"2","1","9"
"10",1,"2","2","1"
"11",1,"2","2","2"
"12",1,"2","2","3"
"13",1,"2","2","4"
"14",1,"2","2","5"
"15",1,"2","2","6"
"16",1,"2","2","7"
"17",1,"2","2","8"
"18",1,"2","2","9"
"19",1,"2","3","1"
"20",1,"2","3","2"
"21",1,"2","3","3"
"22",1,"2","3","4"
"23",1,"2","3","5"
"24",1,"2","3","6"
"25",1,"2","3","7"
"26",1,"2","3","8"
"27",1,"2","3","9"
"28",1,"2","4","1"
"29",1,"2","4","2"
"30",1,"2","4","3"
"31",1,"2","4","4"
"32",1,"2","4","5"
"33",1,"2","4","6"
"34",1,"2","4","7"
"35",1,"2","4","8"
"36",1,"2","4","9"
"37",1,"2","5","1"
"38",1,"2","5","2"
"39",1,"2","5","3"
"40",1,"2","5","4"
"41",1,"2","5","5"
"42",1,"2","5","6"
"43",1,"2","5","7"
"44",1,"2","5","8"
"45",1,"2","5","9"
"46",1,"2","6","1"
"47",1,"2","6","2"
"48",1,"2","6","3"
"49",1,"2","6","4"
"50",1,"2","6","5"
"51",1,"2","6","6"
"52",1,"2","6","7"
"53",1,"2","6","8"
"54",1,"2","6","9"
"55",1,"2","7","1"
"56",1,"2","7","2"
"57",1,"2","7","3"
"58",1,"2","7","4"
"59",1,"2","7","5"
"60",1,"2","7","6"
"61",1,"2","7","7"
"62",1,"2","7","8"
"63",1,"2","7","9"
"64",1,"2","8","1"
"65",1,"2","8","2"
"66",1,"2","8","3"
"67",1,"2","8","4"
"68",1,"2","8","5"
"69",1,"2","8","6"
"70",1,"2","8","7"
"71",1,"2","8","8"
"72",1,"2","8","9"
"73",1,"2","9","1"
"74",1,"2","9","2"
"75",1,"2","9","3"
"76",1,"2","9","4"
"77",1,"2","9","5"
"78",1,"2","9","6"
"79",1,"2","9","7"
"80",1,"2","9","8"
"81",1,"2","9","9"
"82",1,"2","10","1"
"83",1,"2","10","2"
"84",1,"2","10","3"
"85",1,"2","10","4"
"86",1,"2","10","5"
"87",1,"2","10","6"
"88",1,"2","10","7"
"89",1,"2","10","8"
"90",1,"2","10","9"
"91",1,"2","11","1"
"92",1,"2","11","2"
"93",1,"2","11","3"
"94",1,"2","11","4"
"95",1,"2","11","5"
"96",1,"2","11","6"
"97",1,"2","11","7"
"98",1,"2","11","8"
"99",1,"2","11","9"
"100",1,"2","12","1"
"101",1,"2","12","2"
"102",1,"2","12","3"
"103",1,"2","12","4"
"104",1,"2","12","5"
"105",1,"2","12","6"
"106",1,"2","12","7"
"107",1,"2","12","8"
"108",1,"2","12","9"
"109",1,"2","13","1"
"110",1,"2","13","2"
"111",1,"2","13","3"
"112",1,"2","13","4"
"113",1,"2","13","5"
"114",1,"2","13","6"
"115",1,"2","13","7"
"116",1,"2","13","8"
"117",1,"2","13","9"
"118",1,"2","14","1"
"119",1,"2","14","2"
"120",1,"2","14","3"
"121",1,"2","14","4"
"122",1,"2","14","5"
"123",1,"2","14","6"
"124",1,"2","14","7"
"125",1,"2","14","8"
"126",1,"2","14","9"
"127",1,"2","15","1"
